Instance,Algorithm,Best Cost,Mean Cost,Std Dev,Mean Time (s)
Instance A (n=20),HC Best Improvement,352,605.6,151.09,0.0743
Instance A (n=20),HC First Improvement,527,715.23,129.99,0.1113
Instance A (n=20),Multi-Start HC,351,388.83,36.64,0.0852
Instance A (n=20),Simulated Annealing,351,370.63,36.72,0.0694
Instance A (n=20),Tabu Search,351,591.53,149.04,0.0982
Instance A (n=20),GRASP,375,414.47,21.58,0.0687
Instance B (n=50),HC Best Improvement,931,1300.1,302.85,0.0761
Instance B (n=50),HC First Improvement,1130,1658.8,330.19,0.1049
Instance B (n=50),Multi-Start HC,1185,1313.23,53.01,0.078
Instance B (n=50),Simulated Annealing,713,806.57,70.07,0.0821
Instance B (n=50),Tabu Search,855,1279.9,307.63,0.0827
Instance B (n=50),GRASP,878,996.53,51.23,0.0559
Instance C (n=80),HC Best Improvement,1378,1821.03,450.84,0.0633
Instance C (n=80),HC First Improvement,1474,2365.73,696.78,0.072
Instance C (n=80),Multi-Start HC,2369,2505.97,77.43,0.0574
Instance C (n=80),Simulated Annealing,1061,1192.03,68.93,0.1081
Instance C (n=80),Tabu Search,1376,1808.83,444.73,0.081
Instance C (n=80),GRASP,1413,1504.9,43.86,0.0641
